Country,Features,Region,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        Equatorial Guinea,exports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Eritrea,exports ,Africa,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Eswatini,exports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Ethiopia,exports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332,0.563,0.642,0.761,0.7,1.303,1.432,1,1.145,1.637,1.753928571
        Gabon,exports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"        Gambia, The",exports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Ghana,exports ,Africa,0.44,0.472,0.521,0.225,0.25,0.27,0.275,0.281,0.282,0.28,0.195,0.215,0.286,0.288,0.31,0.285,0.348,0.422,0.4,0.422,0.392,0.302,0.612,0.604,0.665,0.639,0.754,0.246,0.538,0.752,1.036,0.691,0.667,0.53,0.522,0.587,0.187,0.268,0.74,1.43,1.801,1.46840933
        Guinea,exports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Guinea-Bissau,exports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Kenya,exports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.0244,0.047,0.058,0.041,0.027,0.029,0.037,0.033,0.044,0.031,0.047,0.039,0.012,0.035,0.016,0.0165,0.0165
        Lesotho,exports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126,0.0232,0.0353,0.0403,0.0061,0.0223,0.0112,0.0085,0.0038,0.0017,0.0055,0.0392,0.021,0.0022,0.00292,0.0044,0.0026,0.0008,0.0029,0.00093,0,0
        Liberia,exports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Libya,exports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105,0.093,0.104,0.117,0.124,0.152,0.121,0.014,0.001,0,0,0,0,0,0,0,0
        Madagascar,exports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Malawi,exports ,Africa,0.002,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.0033,0.006,0.0065,0.0067,0.0075,0.01,0.0109,0.0169,0.0199,0.0163,0.02066,0.01908,0.0211,0.02382,0.02362,0.02185,0.02443,0.02043,0.0193,0.0199,0.0191,0
        Mali,exports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1981,0.2,0.2,0.4005,0.359,0.263,0.333,0.2457,0.27235,0.26021,0.244,0.4603,0.4786,0.4857,0.529,0.535,0.55,0.556,0.55,0.55
        Mauritania,exports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Mauritius,exports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Morocco,exports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.643,0.524,0.818,0.151,0.128,0.165,0.135,0.161,0.35,1.453,0.624,0.851
        Mozambique,exports ,Africa,0.066,0.138,0.568,0.136,0.505,0.1,0,0,0,0,0,0,0,0,0,0,0,0.483,0.9,5.6,8.435,10.37,11.408,9.643,10.402,12.001,12.825,12.347,11.212,12.7,12.075,11.736,9.74,9.042,10.202,11.561,11.711,10.01,9.738,10.771,12.29,11.94831591
        Namibia,exports ,Africa,--,--,--,--,--,--,--,--,--,--,0,0.201,0.204,0.049,0.028,0.146,0.03,0.03,0.023,0.056,0.065,0.065,0.054,0.053,0.023,0.031,0.036,0.04,0.047,0.068,0.077,0.076,0.091,0.089,0.084,0.088,0.099,0.1,0.114,0.119,0.593,0.593
        Niger,exports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0,0,0.003,0,0,0,0,0,0,0,0
        Nigeria,exports ,Africa,0.088,0.105,0.119,0.128,0.135,0.125,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.019,0.019,0.022,0.025,0.03,0.04,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Reunion,exports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ie,ie
        Rwanda,exports ,Africa,0,0.001,0.008,0.001,0.001,0.003,0.003,0.003,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.005,0.003,0.003,0.001,0.001,0.001,0.001,0.008,0.003,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.005,0.003,0,0.004,0.002,0.0044,0.0041,0.004,0.0045,0.00622,0.00622
        Saint Helena,exports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Sao Tome and Principe,exports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Senegal,exports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Seychelles,exports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Sierra Leone,exports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Somalia,exports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        South Africa,exports ,Africa,0,0,0,0,0,0,0,0,0,0,1.607,1.88,1.815,2.589,2.628,3,5.55,6.617,5.093,4.5,3.386,6.996,7.242,10.263,13.254,13.422,13.589,14.496,14.168,14.052,14.668,14.964,15.035,13.929,13.836,14.609,16.549,15.201,14.386,14.977,13.647,14.5404
        South Sudan,exports ,Africa,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0
        Sudan,exports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Tanzania,exports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Togo,exports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104,0.192,0,0,0
        Tunisia,exports ,Africa,0,0.103,0.03,0,0.073,0.006,0.007,0.004,0.034,0.04,0.133,0.123,0.125,0.14,0.122,0,0,0,0.019,0.019,0,0.01,0.059,0.02,0.028,0.142,0.135,0.13,0.129,0.081,0.122,0.161,0.426,0.233,0.625,0.5,0.255,0.483,0.484,0.631,0.969,0.969
        Uganda,exports ,Africa,0.289,0.179,0.213,0.218,0.216,0.215,0.231,0.176,0.11,0.112,0.11,0.112,0.112,0.114,0.114,0.115,0.115,0.115,0.18,0.18,0.165,0.161,0.265,0.217,0.193,0.063,0.053,0.066,0.065368,0.082041,0.075,0.089,0.099,0.106,0.1677,0.121,0.163,0.3164,0.2331,0.302,0.222,0.222
        Western Sahara,exports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Zambia,exports ,Africa,2.748,2.995,3.2,3.2,3.076,3.1,3.1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.3,1.2,1.52,1.7,1.326,1.052,0.778,0.504,0.231,0.243,0.552,0.417,0.096,0.589,0.578,0.029,0.98,1.083,1.256,1.176,0.794,1.063,1.225,0.976,1.34,1.34
        Zimbabwe,exports ,Africa,0.029,0,0,0,0,0,0,0,0,0,0.005,0.042,0,0.003,0,0.001,0,0,0,0,0,0,0,0,0,0.036,0.347,0.029,0.571,0.905,0.987,0.976,0.653,1.2,1.226,1.248,0.369,0.351,0.161,0.504,0.355,0.369592435
        Armenia,exports ,Eurasia,--,--,--,--,--,--,--,--,--,--,--,--,0.052,0.131,0,0,0,0.124,0.387,0.704,0.815,0.701,0.66,0.583,1.012,1.1511,0.7545,0.4513,0.36,0.336,1.061,1.383,1.696,1.313,1.314,1.424,1.229,1.44,1.627,1.251,1.333,0.995
        Azerbaijan,exports ,Eurasia,--,--,--,--,--,--,--,--,--,--,--,--,1.396,0.25,0.25,0.5,0.58,0.284,1.002,0.886,0.378,0.966,0.925,0.871,1.008,0.88,0.879,0.786,0.812,0.38,0.462,0.805,0.68,0.495,0.489,0.265,1.096,1.283,1.445,1.491,1.151,1.673
        Belarus,exports ,Eurasia,--,--,--,--,--,--,--,--,--,--,--,--,3.405,3.605,3.85,2.907,2.601,2.688,2.073,3.029,2.764,2.718,3.513,3.987,4.723,5.055,5.789,5.062,5.245,3.933,5.067,3.704,2.797,3.012,4.488,3.482,3.298,3.407,4.248,5.398,4.777,4.572931835
        Former U.S.S.R.,exports ,Eurasia,18.799,20.808,21.419,23.205,24.101,30.699,30.434,35.067,38.579,37.902,34.198,19.406,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Georgia,exports ,Eurasia,--,--,--,--,--,--,--,--,--,--,--,--,0.531,0.339,0.15,0.18,0.126,0.465,0.796,0.384,0.198,0.527,0.158,0.159,0,0.122,0.14,0.628,0.675,0.74,1.492,0.93,0.528,0.45,0.604,0.66,1.409,0.9397,0.602,0.38,0.2556,1.575
        Kazakhstan,exports ,Eurasia,--,--,--,--,--,--,--,--,--,--,--,--,15.447,12,5.5,2.5,1.731,0.001,0.133,0.085,0.085,1.637,2,4.975,7.403,3.648,3.73,3.308,2.483,2.379,1.757,1.809,2.933,2.996,2.917,1.614,2.572,5.692,5.042,2.419,2.323,2.415779093
        Kyrgyzstan,exports ,Eurasia,--,--,--,--,--,--,--,--,--,--,--,--,7.406,6.641,8.2,7.7,9.156,2.417,0.998,2.011,3.153,2.165,1.062,1.716,3.382,2.684,2.521,2.379,0.868,1.251,1.828,2.848,1.84,0.377,0.072,0.184,0.199,1.215,0.755,0.271,0.302,0.302
        Moldova,exports ,Eurasia,--,--,--,--,--,--,--,--,--,--,--,--,4.636,5.1,0,0.127,0.1,0.027,0,0,0,0,0.36,0.131,0.424,0.22,0.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Russia,exports ,Eurasia,--,--,--,--,--,--,--,--,--,--,--,--,43.952,43.4,44.1,37.982,31.75,26.8,26.3,22.521,22.85,25.74,18.097,21.619,19.8,22.52,20.927,18.468,20.738,17.923,19.091,24.111,19.143,18.382,14.671,18.244,17.694,17.006,17.779,20.049,12.274,21.77
        Tajikistan,exports ,Eurasia,--,--,--,--,--,--,--,--,--,--,--,--,5.596,6.386,5.8,4.198,4.61,3.9,3.7,3.834,3.85,4.047,3.874,4.597,4.451,4.257,4.231,4.259,4.421,4.247,0.286,0.197,0.775,1.061,1.326,1.4,1.428,1.421,2.945,3.175,1.87,1.811239975
        Turkmenistan,exports ,Eurasia,--,--,--,--,--,--,--,--,--,--,--,--,3.9,4.4,3.65,3,3.15,2.7,2.8,1.2,1,1.85,1.056,1.065,1.173,1.26,1.34,1.46,1.476,1.568,2.41,2.55,2.72,2.85,3.21,3.201,3.201,3.201,3.201,3.201,3.201,3.201009497
        Ukraine,exports ,Eurasia,--,--,--,--,--,--,--,--,--,--,--,--,20.502,17.32,16.5,11.678,13.2,9.873,10.7,10.405,6.5,5.196,8.576,12.175,7.529,10.068,12.519,12.554,8.831,4.294,4.078,6.322,11.561,9.929,8.523,3.591,3.83,5.226,6.099,6.283,5.139,3.497
        Uzbekistan,exports ,Eurasia,--,--,--,--,--,--,--,--,--,--,--,--,16.404,15.621,15.2,14.2,12.83,11.5,11.3,11.1,12.75,12.959,11.527,11.548,11.677,11.501,11.903,11.442,11.768,10.97,7.693,8.816,8.6,8.107,7.215,6.81,6.774,7.585,2.627,2.067,2.687,2.687
        Albania,exports ,Europe,0.5,0.525,0.55,0.575,0.6,0.583,0.63,0.8,0.735,0.631,0.118,1.298,0.56,0.141,0.155,0.074,0.38,0.839,0.69,0.755,0.222,0.069,0.058,0.326,0,0,0,0,0,0.487,2.935,0,0,0,0.183,0.956,0.042,0,1.764,0.77048,0.963,2.8
        Austria,exports ,Europe,7.136,7.441,7.464,7.893,6.725,7.77,7.426,9.606,8.283,8.246,7.298,7.738,8.621,8.806,9,9.76,8.476,9.775,10.467,13.507,15.192,14.252,14.676,13.389,13.548,17.732,14.407,15.511,14.934,18.762,17.472074,16.777354,20.626749,17.689115,17.436999,19.327645,19.206889,22.816512,19.1293309,22.9182641,22.3266802,18.8930365
        Belgium,exports ,Europe,8.92,5.264,4.318,4.356,4.143,5.543,5.521,7.778,7.833,7.607,8.509,6.845,5.721,5.359,5.07,5.326,5.446,6.705,6.435,8.207,7.319,6.712,9.07,8.254,6.79,8.024,8.696,9.037,6.561,11.321,11.843999,10.652001,6.911999,7.603001,4.187999,2.715001,8.465001,8.167798,4.3084,14.5889366,14.0548358,23.0700333
        Bosnia and Herzegovina,exports ,Europe,--,--,--,--,--,--,--,--,--,--,--,--,0.5,0,0.4,0.672,2.061,2.684,2.7,3.909,2.569,2.351,2.133,3.015,3.598,3.628,5.123,4.344,5.057,5.877,6.905,5.66,4.525,6.862,5.998,6.007,6.841,5.187,7.698,6.565,7.317,8.014
        Bulgaria,exports ,Europe,0.866,1.095,1.794,2.221,2.243,2.956,1.47,0.952,0.849,0.71,1.656,0.96,0.584,1.52,1.23,2.121,2.252,4.335,4.211,3.627,5.584,8.017,8.335,6.772,6.62,8.38,8.882,7.533,8.441,7.735,9.613,12.11,10.661,9.532,13.774,14.826,10.94,9.186,10.03,8.855,7.115,10.635
        Croatia,exports ,Europe,--,--,--,--,--,--,--,--,--,--,--,--,0.632,1.257,0.95,0.886,1.63,0.66,0.428,0.595,0.386,0.588,0.792,1.142,2.296,4.323,3.306,1.948,6.242,6.889,8.447,6.83,5.743,7.391,6.945,6.369,6.867,5.204,7.306,5.268,5.852,7.545
        Cyprus,exports ,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Czechia,exports ,Europe,--,--,--,--,--,--,--,--,--,--,--,--,--,8.056,5.8,6.304,8.814,10.201,10.844,12.26,18.742,18.919,20.889,26.299,25.493,24.985,24.097,26.357,19.989,22.23,21.59,27.501,28.707,27.457998,28.141999,28.660999,24.791,28.108936,25.4805029,24.1228173,23.5209109,26.2282462
        Denmark,exports ,Europe,3.212,2.331,2.39,3.928,2.16,2.695,2.083,1.758,1.648,2.201,4.925,5.047,4.901,5.095,6.62,4.806,19.181,11.049,7.6,7.536,7.752,8.774,11.01,15.568,11.545,11.574,13.702,11.377,11.36,10.874,11.734,10.374001,10.705999,10.377,9.847001,9.733186,9.919366,10.655391,10.4092669,10.8493504,10.8047274,12.9792959
        Estonia,exports ,Europe,--,--,--,--,--,--,--,--,--,--,--,--,3.492,1.596,1.5,1.005,1.1,1.184,0.528,0.734,1.187,0.891,1.102,1.989,2.141,1.953,1.001,2.765,2.31,2.943,4.353998,5.252,4.95,6.300001,6.484,6.377,5.614001,5.015,4.9500001,2.7039999,3.7236526,4.7042633
        Faroe Islands,exports ,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Finland,exports ,Europe,1.163,0.526,1.738,0.681,0.422,0.941,0.492,0.507,0.409,0.469,0.36,0.641,0.673,0.429,0.625,0.279,1.706,0.45,0.276,0.232,0.326,1.81,1.539,7.03,6.797,0.933,2.717,2.862,3.335,3.375,5.217999,3.804001,1.645002,1.875999,3.655,5.121998,3.158998,1.779,2.6119999,3.896,6.6710001,6.7126797
        Former Czechoslovakia,exports ,Europe,1.7,1.12,1.29,1.39,1.83,2.537,2.283,2.219,2.95,4.636,3.117,1.678,9.192,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Former Serbia and Montenegro,exports ,Europe,--,--,--,--,--,--,--,--,--,--,--,--,0.4,0.1,0,0,0.156,0.009,0.268,1.44,0.446,0.45,1.1,1.786,6.248,8.694,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Former Yugoslavia,exports ,Europe,1.713,1.073,1.243,1.626,3.881,2.036,2.178,2.208,2.559,2.596,3.108,6.475,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        France,exports ,Europe,12.394,15.597,13.121,20.555,29.993,28.658,33.134,38.293,44.425,49.974,52.112,58.409,58.533,65.093,66.85,72.701,72.428,69.634,62.152,68.108,73.174,72.861,80.739,73.373,68.477,68.39,71.863,67.595,58.736,44.451,50.188,65.914001,56.734001,60.148,75.063001,74.023999,61.404,61.248043,76.4787852,73.298799,64.575296,69.3690162
        Germany,exports ,Europe,--,--,--,--,--,--,--,--,--,--,--,30.991,33.738,32.758,33.55,34.911,42.67,40.361,38.953,39.558,42.077,42.122,38.372,52.379,50.808,61.427,65.441,62.508,61.77,54.132,57.916999,54.768,66.81,71.415001,74.320001,85.289998,78.862999,80.301,80.4629999,72.7938711,66.8494739,70.2372394
"        Germany, East",exports ,Europe,2.685,2.445,3.144,3.251,3.927,3.674,3.873,3.664,4.088,4.987,4.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"        Germany, West",exports ,Europe,13.463,14.028,13.422,13.292,15.444,16.33,15.522,18.381,22.329,21.321,26.387,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Gibraltar,exports ,Europe,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Greece,exports ,Europe,0.038,0.089,0.049,0.032,0.03,0.209,0.297,0.362,0.392,0.637,0.619,0.854,0.362,0.284,0.43,0.593,1.314,0.709,0.89,1.647,1.74,1.062,1.706,2.076,2.034,1.836,1.938,2.057,1.962,3.233,2.811001,3.947999,4.169001,3.901001,0.641999,1.473001,1.036999,2.458998,2.2719999,1.1229999,0.9669883,3.8976397
        Hungary,exports ,Europe,2.795,2.641,1.68,1.741,1.32,1.924,1.346,1.997,2.322,1.875,2.039,1.047,1.521,0.756,0.9,0.805,1.28,2.261,3.302,2.34,6.083,7.232,8.349,7.138,3.056,9.41,8.186,10.694,8.871,5.459,4.702,8.021,9.003,4.758,5.689,6.249,5.24,6.925001,4.2649999,7.2690002,7.4990001,7.2132168
        Iceland,exports ,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Ireland,exports ,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.185,0.076,0.073,0.049,0.071,0.288,0.062,0.01,0,0.001,0.009,0.082,0.303,0.175,0.289562,0.241526,0.370129,0.382971,0.703958,1.078605,1.58301,1.79491,1.6492487,1.5350386,1.9129656,0.8629981
        Italy,exports ,Europe,1.989,1.97,3.018,2.886,1.083,1.436,1.814,1.672,0.718,0.725,0.922,0.372,0.647,0.677,1.09,1.235,0.76,0.995,0.901,0.528,0.484,0.549,0.922,0.518,0.791,1.109,1.611,2.648,3.398,2.111,1.827,1.786999,2.303998,2.199999,3.031001,4.471002,6.153999,5.134231,3.2714149,5.8337071,7.5895549,3.7702692
        Kosovo,exports ,Europe,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.296,0.274,0.353,2.717,2.619,2.893,0.475,0.553,1.064,0.87991,0.676815,0.904989,1.283206,1.152993846
        Latvia,exports ,Europe,--,--,--,--,--,--,--,--,--,--,--,--,0.002,0.17,0.85,0.391,0.211,0.001,0.384,0.642,0.322,0.457,0.49,0.038,0.636,0.707,0.302,1.964,2.123,2.605,3.1,2.764002,3.244001,3.649998,3.023,3.425002,3.795,4.137078,4.264801,3.4926831,2.54773,2.8949656
        Lithuania,exports ,Europe,--,--,--,--,--,--,--,--,--,--,--,--,10.641,8.46,6,7,8,7.55,6.466,3.31,1,4.2,11.018,11.674,11.488,8.607,6.24,7.218,6.606,7.715,2.183998,1.347,1.441001,1.127003,0.898001,0.73,2.831,3.248999,3.2149999,3.9243142,4.1049099,3.4352208
        Luxembourg,exports ,Europe,0.192,0.465,0.399,0.36,0.358,0.423,0.434,0.44,0.715,0.74,0.746,0.707,0.533,0.394,0.555,0.743,0.81,0.846,0.924,0.655,0.735,0.744,2.939,2.777,3.132,3.131,3.267,2.887,2.484,2.604,3.21607,2.614384,2.62178,1.907518,2.067393,1.919438,1.419692,1.388649,1.391676,0.9387241,1.078613,1.0371391
        Malta,exports ,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035695,0.010549,0.020451,0.004233,0.036
        Montenegro,exports ,Europe,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.072,0.108,0.108,0.172,0.73,0.431,0.228,0.733,0.642,0.517,0.906,0.4167,0.976,0.9429,5.864,5.864
        Netherlands,exports ,Europe,0.818,0.453,0.241,0.226,0.174,0.127,0.012,0.021,0,0.352,0.471,0.624,0.227,0.269,0.28,0.586,0.7,0.475,0.42,3.968,4.031,4.209,4.488,3.809,5.188,5.398,5.887,5.565,9.116,10.561,12.808002,11.531,15.045863,15.015001,18.128,22.011879,19.343254,18.951502,18.7846638,19.54762,22.4326623,20.632446
        North Macedonia,exports ,Europe,--,--,--,--,--,--,--,--,--,--,--,--,0.209,0.016,0.05,0,0.026,0,0.002,0.103,0,0,0,0,0,0,0,0,0,0,0,0.073,0.072,0.062,0.113,0.143,0.16,0.311026,0.377423,0.583019,0.638598,0.359
        Norway,exports ,Europe,2.501,7.154,6.704,13.847,9.13,4.627,2.18,3.32,7.355,15.166,16.233,6.049,10.103,8.376,4.96,8.966,4.24,4.875,4.412,8.277,20.529,7.174,15.046,5.548,3.854,15.695,8.947,15.32,17.275,14.634,7.124001,14.329,22.006,15.141,21.932,22.016,22.150999,21.276,18.4889022,12.3089999,24.9682649,25.8188721
        Poland,exports ,Europe,4.396,4.227,5.95,7.183,9.233,7.568,7.796,8.703,7.98,10.268,11.478,9.326,9.066,8.011,7.2,7.157,7.925,7.542,8.082,8.426,9.663,11.035,11.537,15.146,14.605,16.188,15.775,13.109,9.703,9.594,7.664,12.022002,12.642999,12.322,11.342,14.793,12.018,10.983999,8.121301,7.245352,7.357075,14.212064
        Portugal,exports ,Europe,0.518,0.14,0.4,1.057,1.366,1.284,0.989,0.675,1.027,1.271,1.696,1.62,1.197,1.902,1.355,1.741,3.01,2.477,3.7,4.488,3.767,3.502,3.43,3.104,2.131,2.802,3.183,2.153,1.313,2.822,3.191001,3.929,2.870998,5.324001,6.343999,5.811,9.701001,8.189703,8.3245361,4.7011472,6.096938,4.7915858
        Romania,exports ,Europe,0.77,0.758,0.364,1.469,1.118,0,0,0,0,0,0,1.874,0.218,1.118,1.05,0.456,1.435,0.817,0.715,1.93,1.47,2.077,3.29,3.046,3.766,5.224,5.262,3.359,5.169,2.946,3.041,5.316,3.65,4.753,9.937,11.22,9.194,7.73538,6.241025,3.974614,5.459332,6.499
        Serbia,exports ,Europe,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9.377,9.192,8.802,6.609,5.917,6.979,5.392,6.614,5.445,7.221,6.99,5.724139,6.283513,5.340968,5.674743,6.333
        Slovakia,exports ,Europe,--,--,--,--,--,--,--,--,--,--,--,--,--,2.28,2.05,2.065,0.698,2.743,2.2,4.915,8.647,9.743,10.867,10.878,10.593,11.27,10.921,11.855,8.891,7.682,6.293,10.500002,13.078999,10.628001,11.862,12.610999,10.598,12.535001,8.746,11.8380002,12.97,13.0980295
        Slovenia,exports ,Europe,--,--,--,--,--,--,--,--,--,--,--,--,2.142,2.124,2.3,2.392,2.53,2.52,2.609,1.935,5.552,7.461,4.914,5.811,7.094,7.558,7.02,5.911,7.824,10.839,10.745,8.407999,8.490999,8.810999,9.996999,9.093002,9.535,9.648193,9.4324018,9.2596757,9.1230559,8.6575717
        Spain,exports ,Europe,3.688,4.116,4.78,4.186,2.99,5.002,4.152,4.703,4.804,4.579,3.628,3.762,3.71,3.339,3.245,3.147,5.69,7.67,5.562,6.24,7.827,6.727,7.175,8.257,11.139,11.555,12.373,14.524,16.92,14.855,13.539,14.022999,18.986,16.637999,15.715999,15.089,14.178,14.592999,12.916,11.8585142,14.64878,16.5061585
        Sweden,exports ,Europe,2.834,6.16,2.603,5.484,5.336,6.683,6.494,6.344,7.671,12.526,14.672,7.519,10.995,8.566,6.4,9.401,9.75,12.961,16.799,16.1,13.63,18.454,14.754,11.457,17.75,21.968,11.497,14.736,14.715,9.08,12.853002,19.714,31.255,22.675999,29.475,31.894,26.022,30.888,29.425,35.2310001,36.823942,33.9095858
